participant_id,theme,sentence_idx,sentence,sentiment_score,sentiment_label,vader_pos,vader_neu,vader_neg
06ECDB,Algorithms,0,"Or I do like a, on Spotify since I have that, search up a song and just kind of play whatever comes next, not necessarily from my playlist, but just kind of hearing a couple different songs similar to what I already like or enjoy and just just finding other songs in that genre.",0.8706,positive,0.194,0.806,0.0
06ECDB,Algorithms,1,Typically if I'm doing like Spotify on my phone and doing like a CarPlay or something like that would do that.,0.7579,positive,0.306,0.694,0.0
06ECDB,Algorithms,2,Give me something a little bit more upbeat or fun or happy to kind of be listening to.,0.8055,positive,0.326,0.674,0.0
0M3LDX,Algorithms,0,"A part of me, I guess, is like a little bit surprised at the computer-selected songs.",0.4804,positive,0.273,0.727,0.0
0M3LDX,Algorithms,2,"It's just like, they felt very like, I guess relevant and like popular.",0.8519,positive,0.563,0.437,0.0
0M3LDX,Algorithms,3,I'm not sure what I was expecting.,-0.2411,negative,0.0,0.718,0.282
0M3LDX,Algorithms,4,"I guess just like, I don't know.",0.3612,positive,0.385,0.615,0.0
0M3LDX,Algorithms,5,It's hard to explain.,-0.1027,negative,0.0,0.682,0.318
0M3LDX,Algorithms,6,It just caught me by surprise for some reason.,0.2732,positive,0.208,0.792,0.0
0M3LDX,Algorithms,7,"Oh, I remember why it was surprising to me.",0.2732,positive,0.231,0.769,0.0
0M3LDX,Algorithms,8,"Sorry, but that does answer your question.",-0.0387,neutral,0.0,0.839,0.161
0M3LDX,Algorithms,9,"So what was surprising to me was how sort of accurate it was, like what I typically enjoy, which is also similar to what I experience when I get algorithm suggested playlists and whatnot.",0.7943,positive,0.224,0.776,0.0
0M3LDX,Algorithms,10,"Like it includes stuff that I enjoy, not that the computer ones did, but similar genres.",0.431,positive,0.228,0.772,0.0
0M3LDX,Algorithms,11,"And it plays music that I know and have already listened to and enjoy, but also new, similar things that I probably will enjoy.",0.7845,positive,0.294,0.706,0.0
0M3LDX,Algorithms,12,So that is my experience with that.,0.0,neutral,0.0,1.0,0.0
0M3LDX,Algorithms,13,Usually I don't use those algorithms just because sometimes I'm a little bit nervous about listening to new things.,-0.2075,negative,0.0,0.898,0.102
0M3LDX,Algorithms,14,"But yeah, that's my limited experience with them.",0.1154,positive,0.251,0.538,0.211
0M3LDX,Algorithms,16,And I just sort of remember that band's name or that artist's name.,0.0,neutral,0.0,1.0,0.0
0M3LDX,Algorithms,17,And then when they inevitably pop up I give them a listen.,0.0,neutral,0.0,1.0,0.0
0M3LDX,Algorithms,18,"And then sometimes, you know, the Spotify explore feature where you can just choose a genre and then swipe up on songs and like hear like 30 second snippets of them.",0.6124,positive,0.152,0.848,0.0
0M3LDX,Algorithms,19,I also use that sometimes when I'm bored.,-0.2732,negative,0.0,0.741,0.259
0M3LDX,Algorithms,20,"And yeah, it's pretty cool.",0.7717,positive,0.794,0.206,0.0
0M3LDX,Algorithms,21,"With the computer [suggested] ones, it's like, okay, it's based off of someone's-- I don't know how the algorithm works exactly, so I'm just going off of how I'm guessing it works.",0.5267,positive,0.132,0.868,0.0
0M3LDX,Algorithms,22,"But the algorithm, it picks songs based off what it thinks the listener will like, which I know, I tend to humanize computers, as a computer science major, a little bit.",0.5023,positive,0.111,0.889,0.0
0M3LDX,Algorithms,23,"But I can see the “effort” or “thought” put into it and be like, that's, you made an “effort” and sometimes it works, sometimes it doesn't, but it doesn't feel as human.",0.5023,positive,0.098,0.902,0.0
0M3LDX,Algorithms,24,Like the connection isn't really there.,0.3612,positive,0.333,0.667,0.0
0M3LDX,Algorithms,25,"For the human selected ones, a human actually went through that, has some sort of connection to it.",0.0,neutral,0.0,1.0,0.0
0M3LDX,Algorithms,26,"But the computer ones, it's, connection isn't there.",0.0,neutral,0.0,1.0,0.0
0M3LDX,Algorithms,27,It's just an algorithm spitting out what it thinks is most optimal.,0.4201,positive,0.202,0.798,0.0
1JVZTM,Algorithms,2,I used to use the Spotify like DJ thing a lot.,0.3612,positive,0.238,0.762,0.0
1JVZTM,Algorithms,3,But then it would like sometimes just gives you a bunch of stuff that I don't want to listen to.,0.4436,positive,0.158,0.777,0.065
1JVZTM,Algorithms,4,"So I was like, So a lot of the times I'll go like, if there's like an artist, I'll like, on Spotify, there's like a tab that's like, other listeners like listen to these bands too, so I'll do that.",0.9549,positive,0.393,0.607,0.0
1MM3K9,Algorithms,0,I think most of it comes from the suggestions from Spotify.,0.0,neutral,0.0,1.0,0.0
1MM3K9,Algorithms,1,It's like I get a lot from the day list or whatever it's suggesting for me.,0.3612,positive,0.161,0.839,0.0
1MM3K9,Algorithms,2,That's where I get a lot of my new stuff.,0.0,neutral,0.0,1.0,0.0
1MM3K9,Algorithms,3,But then also if like one of my favorite artists is releasing a new album.,0.8047,positive,0.377,0.623,0.0
1MM3K9,Algorithms,4,I will stay up till midnight to listen to it and then do that.,0.0,neutral,0.0,1.0,0.0
1MM3K9,Algorithms,5,But most of it is probably from just the algorithm.,0.0,neutral,0.0,1.0,0.0
1ZWUFF,Algorithms,0,Just through like Spotify suggested songs.,0.3612,positive,0.333,0.667,0.0
1ZWUFF,Algorithms,1,"I usually like, I play my life songs and then I have a shuffle set so it has some AI suggestions in there.",0.5994,positive,0.224,0.776,0.0
2MDJD4,Algorithms,0,"Like sometimes I will get it from a curated playlist, but it's usually like a mix on Spotify that's already like 90% of the songs that I already have liked and they just kind of put them together.",0.899,positive,0.285,0.715,0.0
2MDJD4,Algorithms,1,"Yeah, like if it goes off of like strictly, I guess, like if it chooses stuff from like artists you've already like listened to or it sees that you listen to frequently, you've way higher a chance of being like, okay, I like this.",0.9618,positive,0.432,0.568,0.0
2MDJD4,Algorithms,2,"Then if it's just like a random artist you've never heard and you're just like, oh, okay.",0.7096,positive,0.347,0.653,0.0
33BW0G,Algorithms,0,"Because sometimes when I'm listening to doing something important, I don't like listening to my favorite songs.",0.3999,positive,0.241,0.653,0.106
33BW0G,Algorithms,1,I just let like my Spotify like play whatever.,0.7506,positive,0.597,0.403,0.0
33BW0G,Algorithms,2,And these songs are something that we have in the background.,0.0,neutral,0.0,1.0,0.0
3JOBJ9,Algorithms,0,A lot of it's just on TikTok to be honest.,0.5106,positive,0.292,0.708,0.0
3JOBJ9,Algorithms,1,"I just scroll a lot on TikTok and I follow a bunch of these accounts that have like They're general genre recommendations accounts, but they're trying to like, they focus more on like artists who are like below 10,000 listeners and they try to get me like hooked on those songs.",0.9294,positive,0.26,0.74,0.0
3JOBJ9,Algorithms,2,I have like certain accounts that I follow for certain genres.,0.6908,positive,0.528,0.472,0.0
3JOBJ9,Algorithms,3,"Like I have like 3 accounts for like R&B specifically, one account for rap, one account for something, a genre called city pop, which is like a early to late 90s pop in Japan, like Japanese pop songs.",0.8885,positive,0.301,0.699,0.0
3JOBJ9,Algorithms,4,So I always enjoyed those.,0.5542,positive,0.544,0.456,0.0
3JOBJ9,Algorithms,5,"And I just try to send feelers out, I guess, by following these accounts and see if the algorithm gives me random stuff or some new artist is trying to promote their music and they put them on there.",0.3818,positive,0.067,0.933,0.0
3JOBJ9,Algorithms,6,That's kind of related to other artists I follow on TikTok as well.,0.2732,positive,0.16,0.84,0.0
3JOBJ9,Algorithms,7,"So yeah, that's how I discover my music mostly.",0.3597,positive,0.263,0.737,0.0
3JOBJ9,Algorithms,8,"I usually drop a like on songs that like recommendations of songs that I like to like see if I can push the algorithm in that direction but with how the algorithm of TikTok is, it's not as interactive as it used to be.",0.5346,positive,0.161,0.804,0.036
3JOBJ9,Algorithms,9,"Like 2 years ago, I was able to drop like 2 likes on this certain genre and then I get a lot more recommendations from it.",0.7783,positive,0.354,0.571,0.075
3JOBJ9,Algorithms,10,But nowadays it's harder to like push it in that direction.,0.5023,positive,0.245,0.755,0.0
3JOBJ9,Algorithms,11,"So I think maybe I need to up my interaction with it more, but I'm not a big like commenter or anything because I don't really have anything original to say.",0.1731,positive,0.108,0.806,0.086
